,product_id,product_name,category_id,no_orders
1133,18640,High Quality Nexos Knapsack Sprayer,880.0,1
1131,46853,Digital Grain Moisture Meter (Table Top | Probe Models),880.0,2
1130,23530,Bacflora-F (Triple Effect) Feed Additive for Poultry,2703.0,2
1129,24290,Heteroclarias Juveniles Hybrid (Regular | Jumbo) Special Maxi Brand,876.0,5
1128,25234,Quality Bite Nipple Drinkers for Pigs (With Filter),2826.0,1
1127,67158,,,1
1126,64553,Ciprocolen | Vanguard Pharmacy,2840.0,1
1125,52741,,,2
1124,60262,Feasibility Report (2000 Layers Capacity Farm),2630.0,2
1123,63542,Broiler Farming | The Success Secrets | Business Plan | Feasibility Study (200 Pages),2630.0,2
1122,64977,Beginners Guide To Broiler Farming (184 Pages),2630.0,2
1121,25230,KENFLOX 20% ORAL (1 litre),2703.0,1
1120,70980,,,1
1119,23678,Polidine Disinfectant (Iodophor | Antimicrobial | Fungicide)-1 Litre,2703.0,3
1118,23583,STERIFUM Environmental Fumigant Block (700g),2703.0,1
1117,66125,Maxi Growth (Animal Feed Supplement | 150g),2703.0,2
1116,56488,Grower Pig Feed (25kg | Animal Care Brand),2701.0,1
1115,27626,High Pressure Poultry Pen Fogger (Sprinkler System),880.0,3
1114,70813,,,1
1113,23684,Superliv Herbal Supplement For Poultry,2703.0,1
1112,25362,Piglet Feeder (1x4 Feeder | 810x310x740),880.0,1
1111,63493,Ampligo (Insecticide | Syngenta Brand),5134.0,4
1110,65742,Maha F1 Okra Seeds (East West Seed Brand | 20g | 100g),5134.0,2
1109,31824,Semi-automatic Bell Drinker for Poultry Chicks,3455.0,1
1108,32556,Grower Mash for Pullets/Layers (FACCO Brand) - 25kg Bag,2701.0,2
1107,22611,Electronic Platform Scale (300 kg Capacity),880.0,1
1106,58511,Darina F1 Slicer Cucumber Seeds (Hybrid Seeds) - 10g Sachet,4574.0,3
1105,27180,Defeathering/Feather Plucking Machine (Electric Powered | 2-3 Birds Capacity),880.0,3
1104,68781,Poultry Plucker Fingers (High-Quality Rubber Material) - Pack of 100,880.0,1
1103,66232,Carrot Thema | Sachet | 10g,4574.0,1
1102,66277,Lemon Seedlings,5134.0,1
1101,66461,Avocado Seedlings,5134.0,2
1100,66256,Orange Seedlings (Tangelo | Tangerine),4839.0,3
1099,39806,Brazilian Cashew Seedlings (Jumbo | Medium Varieties),4839.0,1
1098,65723,Basanti 447 F1 Okra Seeds (East West Seed Brand | 20g | 100g),5134.0,4
1097,71656,,,1
1096,70983,,,1
1095,68288,Finisher Feed | Hendrix Brand | 25kg,2701.0,1
1094,57257,Sucker (Plantain | Banana | Pineapple),5140.0,9
1093,66249,Sweet Orange Seedlings,5134.0,3
1092,18369,Kedpro Artificial Insemination Kit (Semen Gun),880.0,1
1091,20606,WANDA 3 Tier Battery Cage with PVC Feeder [90/96 Birds],880.0,3
1090,16519,Export Business In Nigeria - Cocoa Powder Export Kit,2630.0,1
1089,27928,Jumbo Plastic Egg Crates (Bundle of 36 Pieces),3050.0,2
